item_name,hour,day_of_week,is_weekend,is_holiday,freshness,inventory,price,temperature,is_rainy,sales_last_1h,sales_yesterday_same_hour,sales_last_week_same_hour,sales_next_hour
西瓜,2,6,1,0,0.913,33.07,7.8,8.0,0,0.0,0.0,0.0,0.0
西红柿,2,6,1,0,0.843,102.54,10.35,9.1,0,0.0,0.07,0.0,0.0
香蕉,2,6,1,0,0.759,174.15,8.0,6.8,0,0.0,0.0,0.0,0.0
黄瓜,2,6,1,0,0.87,56.61,9.1,7.0,0,0.0,0.0,0.0,0.0
土豆,3,6,1,0,0.982,0.0,4.0,6.9,0,0.0,0.0,0.0,0.0
芒果,3,6,1,0,0.603,224.64,15.0,11.9,0,0.0,0.0,0.0,0.0
苹果,3,6,1,0,0.916,170.9,12.0,5.7,0,0.0,0.0,0.0,0.0
草莓,3,6,1,0,0.447,274.43,24.0,9.5,0,0.0,0.0,0.0,0.0
葡萄,3,6,1,0,0.649,248.89,23.0,7.8,0,0.0,0.0,0.0,0.0
西瓜,3,6,1,0,0.912,33.07,6.0,6.9,0,0.0,0.0,0.0,0.0
西红柿,3,6,1,0,0.84,102.54,10.35,10.0,0,0.0,0.0,0.26,0.0
香蕉,3,6,1,0,0.756,174.15,8.0,6.0,0,0.07,0.0,0.13,0.0
黄瓜,3,6,1,0,0.867,56.61,7.0,11.1,0,0.0,0.0,0.0,0.0
土豆,4,6,1,0,0.981,0.0,2.8,10.4,0,0.0,0.0,0.04,0.0
芒果,4,6,1,0,0.598,224.64,9.0,8.4,0,0.0,0.0,0.11,0.0
苹果,4,6,1,0,0.915,170.9,8.4,8.5,0,0.0,0.0,0.0,0.0
草莓,4,6,1,0,0.441,274.43,24.0,5.0,0,0.0,0.0,0.0,0.0
葡萄,4,6,1,0,0.645,248.89,17.0,7.0,0,0.0,0.0,0.0,0.0
西瓜,4,6,1,0,0.91,33.07,7.8,9.8,0,0.0,0.0,0.0,0.0
西红柿,4,6,1,0,0.838,102.54,6.3,8.5,0,0.0,0.0,0.0,0.0
香蕉,4,6,1,0,0.753,174.15,5.6,11.8,0,0.0,0.0,0.0,0.0
黄瓜,4,6,1,0,0.865,56.61,5.95,8.4,0,0.0,0.0,0.0,0.0
土豆,5,6,1,0,0.981,0.0,4.6,12.4,1,0.0,0.0,0.0,7.16
芒果,5,6,1,0,0.593,224.64,9.0,11.1,0,0.0,0.0,0.0,1.4
苹果,5,6,1,0,0.912,170.9,12.0,12.4,1,0.0,0.0,0.0,5.96
草莓,5,6,1,0,0.435,274.43,24.0,11.3,1,0.0,0.0,0.0,1.56
葡萄,5,6,1,0,0.641,248.89,23.0,9.5,0,0.0,0.0,0.0,1.45
西瓜,5,6,1,0,0.908,33.07,5.1,13.7,0,0.0,0.06,0.0,2.05
西红柿,5,6,1,0,0.835,102.54,9.0,11.6,0,0.0,0.0,0.0,1.16
香蕉,5,6,1,0,0.75,174.15,9.2,8.2,0,0.0,0.0,0.0,1.84
黄瓜,5,6,1,0,0.861,56.61,7.0,13.0,0,0.0,0.0,0.0,5.65
土豆,6,6,1,0,1.0,292.84,4.0,15.7,1,0.0,6.22,8.22,28.76
芒果,6,6,1,0,1.0,298.6,19.5,14.0,0,0.0,3.16,2.99,0.74
苹果,6,6,1,0,1.0,294.04,10.2,11.9,0,0.0,4.12,4.42,9.37
草莓,6,6,1,0,1.0,298.44,34.0,7.0,0,0.0,1.46,1.55,2.23
葡萄,6,6,1,0,1.0,298.55,20.0,12.5,0,0.0,0.79,1.38,1.41
西瓜,6,6,1,0,1.0,297.95,6.0,12.1,0,0.0,2.58,1.8,3.87
西红柿,6,6,1,0,1.0,298.84,11.7,13.6,1,0.0,4.98,5.64,24.9
香蕉,6,6,1,0,1.0,298.16,10.4,10.0,0,0.0,4.64,4.91,28.52
黄瓜,6,6,1,0,1.0,294.35,8.05,10.9,0,0.0,3.02,8.73,19.08
土豆,7,6,1,0,0.999,264.08,4.0,13.8,0,7.16,12.38,11.25,31.72
芒果,7,6,1,0,0.995,297.86,19.5,14.5,1,1.4,13.04,1.97,5.9
苹果,7,6,1,0,0.996,284.67,12.0,15.4,0,5.96,12.04,4.87,18.76
草莓,7,6,1,0,0.994,296.21,40.0,13.5,0,1.56,5.09,1.62,2.93
葡萄,7,6,1,0,0.996,297.14,20.0,12.1,1,1.45,5.14,2.13,4.21
西瓜,7,6,1,0,0.997,294.08,6.9,15.0,0,2.05,1.8,4.31,7.57
西红柿,7,6,1,0,0.997,273.94,6.3,10.9,0,1.16,16.58,27.72,9.26
香蕉,7,6,1,0,0.997,269.64,5.6,11.7,0,1.84,10.19,5.33,12.51
黄瓜,7,6,1,0,0.995,275.27,5.95,14.5,0,5.65,29.79,13.17,11.74
土豆,8,6,1,0,0.999,232.36,4.0,11.3,0,28.76,15.29,27.8,25.78
芒果,8,6,1,0,0.975,291.96,15.0,18.7,0,0.74,6.3,6.99,7.68
苹果,8,6,1,0,0.994,265.91,8.4,12.9,0,9.37,1.97,1.0,6.55
草莓,8,6,1,0,0.988,293.28,40.0,12.4,0,2.23,3.68,2.74,0.32
葡萄,8,6,1,0,0.992,292.93,23.0,12.6,0,1.41,6.75,4.9,5.98
西瓜,8,6,1,0,0.993,286.51,4.2,16.3,0,3.87,10.67,10.54,19.53
西红柿,8,6,1,0,0.989,264.68,10.35,16.7,0,24.9,17.68,7.15,9.57
香蕉,8,6,1,0,0.989,257.13,8.0,16.1,0,28.52,14.0,12.59,12.62
黄瓜,8,6,1,0,0.988,263.53,8.05,17.5,0,19.08,16.05,17.95,8.46
土豆,9,6,1,0,0.998,206.58,4.0,21.2,0,31.72,24.93,11.07,9.89
芒果,9,6,1,0,0.962,284.28,12.75,16.7,0,5.9,2.19,7.74,0.54
苹果,9,6,1,0,0.989,259.36,12.0,19.1,0,18.76,12.31,6.89,0.75
草莓,9,6,1,0,0.977,292.96,40.0,16.8,1,2.93,1.71,0.61,1.32
葡萄,9,6,1,0,0.98,286.95,14.0,16.8,0,4.21,1.54,1.65,2.53
西瓜,9,6,1,0,0.988,266.98,6.0,20.2,0,7.57,12.06,4.85,11.8
西红柿,9,6,1,0,0.978,255.11,9.0,22.3,0,9.26,5.58,13.9,3.43
香蕉,9,6,1,0,0.979,244.51,5.6,17.6,0,12.51,8.08,6.11,7.66
黄瓜,9,6,1,0,0.982,255.07,8.05,16.6,0,11.74,11.91,23.56,8.74
土豆,10,6,1,0,0.997,196.69,4.6,22.8,0,25.78,20.74,4.53,20.93
芒果,10,6,1,0,0.932,283.74,17.25,21.5,1,7.68,4.15,0.79,0.6
苹果,10,6,1,0,0.983,258.61,15.6,21.2,1,6.55,3.73,4.21,17.3
草莓,10,6,1,0,0.94,291.64,34.0,21.2,0,0.32,0.47,0.88,1.61
葡萄,10,6,1,0,0.954,284.42,20.0,22.3,0,5.98,1.86,2.83,1.41
西瓜,10,6,1,0,0.984,255.18,6.0,18.9,0,19.53,6.81,9.85,21.47
西红柿,10,6,1,0,0.966,251.68,10.35,21.7,0,9.57,6.79,8.33,4.65
香蕉,10,6,1,0,0.969,236.85,6.8,17.3,0,12.62,6.85,5.36,11.49
黄瓜,10,6,1,0,0.976,246.33,5.95,16.6,0,8.46,7.38,7.75,6.37
土豆,11,6,1,0,0.995,175.76,4.0,21.2,0,9.89,16.59,20.42,38.83
芒果,11,6,1,0,0.9,283.14,19.5,21.9,1,0.54,3.67,5.09,1.25
苹果,11,6,1,0,0.977,241.31,8.4,23.1,0,0.75,2.38,8.69,4.08
草莓,11,6,1,0,0.89,290.03,40.0,23.3,0,1.32,1.38,1.32,1.85
葡萄,11,6,1,0,0.924,283.01,14.0,24.1,1,2.53,3.97,3.71,3.67
西瓜,11,6,1,0,0.977,233.71,6.0,23.7,0,11.8,10.51,23.09,2.36
西红柿,11,6,1,0,0.957,247.03,11.7,18.8,0,3.43,3.97,8.77,5.91
香蕉,11,6,1,0,0.951,225.36,8.0,21.6,0,7.66,5.54,8.74,7.28
黄瓜,11,6,1,0,0.967,239.96,9.1,22.1,0,8.74,9.55,14.13,12.69
土豆,12,6,1,0,0.994,136.93,2.8,23.9,0,20.93,29.25,27.07,17.16
芒果,12,6,1,0,0.861,281.89,15.0,23.6,1,0.6,5.92,4.33,3.71
苹果,12,6,1,0,0.971,237.23,8.4,23.6,1,17.3,12.85,3.08,5.58
草莓,12,6,1,0,0.84,288.18,40.0,23.3,0,1.61,1.75,1.96,0.4
葡萄,12,6,1,0,0.896,279.34,20.0,23.0,0,1.41,1.48,2.86,4.02
西瓜,12,6,1,0,0.97,231.35,7.8,26.0,1,21.47,39.02,17.92,13.74
西红柿,12,6,1,0,0.947,241.12,9.0,20.5,1,4.65,12.83,16.95,18.98
香蕉,12,6,1,0,0.928,218.08,9.2,24.1,0,11.49,11.19,15.02,8.38
黄瓜,12,6,1,0,0.958,227.27,4.9,20.9,0,6.37,5.75,9.33,3.03
土豆,13,6,1,0,0.993,119.77,4.0,25.9,0,38.83,17.26,4.02,5.78
芒果,13,6,1,0,0.83,278.18,15.0,21.5,0,1.25,3.14,3.43,1.51
苹果,13,6,1,0,0.964,231.65,12.0,27.9,0,4.08,2.74,7.72,5.66
草莓,13,6,1,0,0.806,287.78,52.0,20.7,0,1.85,0.84,0.88,0.58
葡萄,13,6,1,0,0.872,275.32,14.0,21.9,0,3.67,0.71,3.91,1.25
西瓜,13,6,1,0,0.963,217.61,6.0,25.8,0,2.36,15.79,24.18,11.94
西红柿,13,6,1,0,0.935,222.14,7.65,22.8,0,5.91,11.11,2.64,7.49
香蕉,13,6,1,0,0.905,209.7,8.0,24.5,0,7.28,3.17,9.2,3.66
黄瓜,13,6,1,0,0.948,224.24,8.05,25.0,1,12.69,10.74,10.38,2.94
土豆,14,6,1,0,0.992,113.99,5.2,28.0,0,17.16,13.3,4.23,7.68
芒果,14,6,1,0,0.794,276.67,17.25,23.1,0,3.71,1.9,3.15,1.31
苹果,14,6,1,0,0.958,225.99,12.0,23.4,0,5.58,4.43,2.07,2.14
草莓,14,6,1,0,0.758,287.2,40.0,23.1,0,0.4,0.65,0.61,0.7
葡萄,14,6,1,0,0.838,274.07,23.0,25.6,0,4.02,0.56,1.09,1.25
西瓜,14,6,1,0,0.958,205.67,6.0,18.7,0,13.74,6.98,4.23,9.98
西红柿,14,6,1,0,0.922,214.65,7.65,23.5,0,18.98,7.62,4.8,7.28
香蕉,14,6,1,0,0.886,206.04,9.2,21.9,0,8.38,1.99,4.27,4.17
黄瓜,14,6,1,0,0.938,221.3,9.1,23.3,0,3.03,4.55,6.29,6.38
土豆,15,6,1,0,0.99,106.31,4.6,24.6,0,5.78,2.65,26.32,36.84
芒果,15,6,1,0,0.749,275.36,17.25,25.2,0,1.51,1.96,0.53,3.71
苹果,15,6,1,0,0.953,223.85,15.6,21.6,0,5.66,0.86,3.91,5.73
草莓,15,6,1,0,0.704,286.5,34.0,23.9,0,0.58,0.32,0.29,1.22
葡萄,15,6,1,0,0.804,272.82,20.0,25.3,0,1.25,3.02,1.34,3.25
西瓜,15,6,1,0,0.952,195.69,6.0,23.7,0,11.94,6.73,9.88,8.88
西红柿,15,6,1,0,0.908,207.37,7.65,25.3,0,7.49,4.97,5.07,31.37
香蕉,15,6,1,0,0.869,201.87,8.0,21.2,0,3.66,2.85,1.5,13.93
黄瓜,15,6,1,0,0.928,214.92,7.0,24.3,0,2.94,4.85,3.33,7.77
土豆,16,6,1,0,0.989,69.47,4.0,22.7,0,7.68,41.03,40.76,63.94
芒果,16,6,1,0,0.709,271.65,15.0,24.1,0,1.31,5.52,4.19,5.93
苹果,16,6,1,0,0.946,218.12,15.6,25.4,0,2.14,11.01,10.06,10.45
草莓,16,6,1,0,0.653,285.28,40.0,23.6,0,0.7,1.56,1.91,0.27
葡萄,16,6,1,0,0.772,269.57,23.0,25.1,0,1.25,2.95,3.68,3.11
西瓜,16,6,1,0,0.945,186.81,6.0,25.5,1,9.98,22.3,5.73,38.02
西红柿,16,6,1,0,0.895,176.0,6.3,24.5,0,7.28,13.25,23.25,8.62
香蕉,16,6,1,0,0.844,187.94,8.0,25.3,0,4.17,3.65,3.16,22.54
黄瓜,16,6,1,0,0.916,207.15,9.1,26.3,0,6.38,13.52,8.92,29.65
土豆,17,6,1,0,0.988,5.53,4.0,22.2,0,36.84,45.65,25.25,5.53
芒果,17,6,1,0,0.67,265.72,15.0,23.8,0,3.71,5.69,2.22,2.73
苹果,17,6,1,0,0.939,207.67,13.8,24.9,0,5.73,6.48,14.19,7.28
草莓,17,6,1,0,0.64,285.01,46.0,17.1,1,1.22,0.84,3.43,0.63
葡萄,17,6,1,0,0.743,266.46,23.0,23.3,0,3.25,4.78,5.0,2.71
西瓜,17,6,1,0,0.94,148.79,6.0,18.7,0,8.88,71.69,30.74,62.78
西红柿,17,6,1,0,0.885,167.38,11.7,20.2,0,31.37,21.27,10.15,20.84
香蕉,17,6,1,0,0.828,165.4,6.8,20.3,0,13.93,15.28,26.15,2.6
黄瓜,17,6,1,0,0.908,177.5,7.0,21.3,0,7.77,22.3,25.59,20.24
土豆,18,6,1,0,0.987,0.0,2.8,23.2,0,63.94,19.94,31.57,0.0
芒果,18,6,1,0,0.65,262.99,19.5,18.7,0,5.93,6.85,0.75,2.03
苹果,18,6,1,0,0.935,200.39,10.2,18.6,1,10.45,21.31,8.87,7.0
草莓,18,6,1,0,0.626,284.38,52.0,17.3,0,0.27,3.02,2.78,1.76
葡萄,18,6,1,0,0.723,263.75,14.0,20.3,1,3.11,4.84,4.71,6.13
西瓜,18,6,1,0,0.936,86.01,5.1,19.4,0,38.02,38.72,5.55,46.22
西红柿,18,6,1,0,0.872,146.54,9.0,22.9,0,8.62,11.46,12.65,16.35
香蕉,18,6,1,0,0.816,162.8,9.2,18.8,1,22.54,14.21,19.09,14.23
黄瓜,18,6,1,0,0.901,157.26,7.0,18.2,0,29.65,39.26,17.84,20.32
土豆,19,6,1,0,0.986,0.0,3.4,20.2,0,5.53,34.77,23.57,0.0
芒果,19,6,1,0,0.64,260.96,19.5,16.0,0,2.73,2.3,0.64,2.3
苹果,19,6,1,0,0.931,193.39,10.2,15.8,1,7.28,4.38,9.65,18.65
草莓,19,6,1,0,0.612,282.62,40.0,17.3,0,0.63,0.48,2.82,2.0
葡萄,19,6,1,0,0.707,257.62,17.0,18.1,0,2.71,3.57,3.61,7.02
西瓜,19,6,1,0,0.931,39.79,5.1,18.4,0,62.78,3.78,13.7,8.68
西红柿,19,6,1,0,0.864,130.19,10.35,18.5,0,20.84,21.64,16.67,12.61
香蕉,19,6,1,0,0.803,148.57,8.0,18.6,0,2.6,4.82,28.0,17.27
黄瓜,19,6,1,0,0.894,136.94,5.95,17.1,1,20.24,21.16,7.48,32.33
土豆,20,6,1,0,0.985,0.0,2.4,13.3,0,0.0,0.0,33.92,0.0
芒果,20,6,1,0,0.619,258.66,9.0,18.9,1,2.03,8.7,6.66,1.83
苹果,20,6,1,0,0.927,174.74,7.2,17.0,0,7.0,23.46,26.25,6.39
草莓,20,6,1,0,0.598,280.62,24.0,17.4,0,1.76,1.66,2.18,0.67
葡萄,20,6,1,0,0.69,250.6,12.0,18.8,0,6.13,6.8,7.32,1.89
西瓜,20,6,1,0,0.927,31.11,3.6,16.4,0,46.22,14.46,12.39,3.25
西红柿,20,6,1,0,0.857,117.58,5.4,16.0,1,16.35,27.47,26.54,8.25
香蕉,20,6,1,0,0.79,131.3,4.8,19.0,0,14.23,13.5,24.78,6.57
黄瓜,20,6,1,0,0.889,104.61,4.2,14.1,0,20.32,37.9,33.8,9.7
土豆,21,6,1,0,0.985,0.0,2.4,15.3,0,0.0,0.0,0.0,0.0
芒果,21,6,1,0,0.614,256.83,9.0,12.4,0,2.3,0.87,2.55,0.04
苹果,21,6,1,0,0.924,168.35,7.2,14.2,0,18.65,5.03,7.53,0.11
草莓,21,6,1,0,0.592,279.95,24.0,13.6,0,2.0,0.66,0.41,0.0
葡萄,21,6,1,0,0.671,248.71,12.0,19.8,0,7.02,2.32,0.61,0.0
西瓜,21,6,1,0,0.925,27.86,3.6,13.5,0,8.68,2.84,1.8,0.0
西红柿,21,6,1,0,0.851,109.33,5.4,13.9,0,12.61,10.1,6.22,0.0
香蕉,21,6,1,0,0.787,124.73,4.8,13.4,0,17.27,5.62,6.0,0.0
黄瓜,21,6,1,0,0.883,94.91,4.2,15.8,0,32.33,5.4,5.89,0.0
土豆,22,6,1,0,0.984,0.0,2.4,11.9,0,0.0,0.0,0.0,0.0
芒果,22,6,1,0,0.609,256.79,9.0,13.1,0,1.83,0.0,0.0,0.0
苹果,22,6,1,0,0.92,168.24,7.2,14.4,0,6.39,0.0,0.0,0.0
草莓,22,6,1,0,0.586,279.95,24.0,13.5,0,0.67,0.0,0.0,0.0
葡萄,22,6,1,0,0.667,248.71,12.0,11.8,0,1.89,0.0,0.0,0.0
西瓜,22,6,1,0,0.923,27.86,3.6,12.7,0,3.25,0.19,0.0,0.0
西红柿,22,6,1,0,0.847,109.33,5.4,11.9,0,8.25,0.0,0.22,0.0
香蕉,22,6,1,0,0.784,124.73,4.8,12.4,0,6.57,0.0,0.0,0.0
黄瓜,22,6,1,0,0.881,94.91,4.2,9.8,0,9.7,0.0,0.0,0.0
土豆,23,6,1,0,0.983,0.0,2.4,10.9,0,0.0,0.0,0.0,0.0
芒果,23,6,1,0,0.604,256.79,9.0,10.1,0,0.04,0.0,0.0,0.0
苹果,23,6,1,0,0.919,168.24,7.2,6.9,0,0.11,0.0,0.0,0.1
草莓,23,6,1,0,0.58,279.95,24.0,13.6,0,0.0,0.0,0.08,0.07
葡萄,23,6,1,0,0.663,248.71,12.0,10.5,0,0.0,0.0,0.0,0.0
西瓜,23,6,1,0,0.921,27.86,3.6,12.3,0,0.0,0.0,0.0,0.0
西红柿,23,6,1,0,0.843,109.33,5.4,12.7,0,0.0,0.16,0.0,0.0
香蕉,23,6,1,0,0.781,124.73,4.8,13.0,0,0.0,0.0,0.0,0.0
黄瓜,23,6,1,0,0.878,94.91,4.2,10.3,1,0.0,0.26,0.0,0.0
土豆,0,0,0,0,0.983,0.0,2.8,8.1,0,0.0,0.0,0.0,0.0
芒果,0,0,0,0,0.599,256.79,9.0,6.3,0,0.0,0.0,0.0,0.0
苹果,0,0,0,0,0.917,168.14,13.8,11.4,0,0.0,0.0,0.0,0.0
草莓,0,0,0,0,0.574,279.88,24.0,12.0,0,0.0,0.0,0.0,0.02
葡萄,0,0,0,0,0.659,248.71,26.0,9.9,0,0.0,0.03,0.01,0.0
西瓜,0,0,0,0,0.919,27.86,5.1,10.4,0,0.0,0.0,0.0,0.05
西红柿,0,0,0,0,0.841,109.33,10.35,9.4,0,0.0,0.0,0.0,0.0
香蕉,0,0,0,0,0.778,124.73,5.6,10.0,0,0.0,0.2,0.0,0.0
黄瓜,0,0,0,0,0.875,94.91,7.0,8.9,1,0.0,0.0,0.0,0.0
土豆,1,0,0,0,0.983,0.0,4.0,7.1,0,0.0,0.0,0.0,0.0
芒果,1,0,0,0,0.593,256.79,9.0,14.8,0,0.0,0.0,0.0,0.13
苹果,1,0,0,0,0.915,168.14,12.0,10.2,0,0.1,0.0,0.0,0.0
草莓,1,0,0,0,0.568,279.86,24.0,7.9,0,0.07,0.0,0.08,0.0
葡萄,1,0,0,0,0.655,248.71,20.0,12.2,0,0.0,0.0,0.0,0.0
西瓜,1,0,0,0,0.918,27.81,4.2,10.7,1,0.0,0.0,0.0,0.0
西红柿,1,0,0,0,0.838,109.33,9.0,9.9,0,0.0,0.0,0.0,0.0
香蕉,1,0,0,0,0.775,124.73,8.0,8.6,0,0.0,0.0,0.0,0.01
黄瓜,1,0,0,0,0.873,94.91,7.0,9.2,0,0.0,0.0,0.0,0.0
土豆,2,0,0,0,0.982,0.0,4.0,13.1,0,0.0,0.0,0.0,0.0
芒果,2,0,0,0,0.588,256.66,9.0,7.2,1,0.0,0.0,0.0,0.0
苹果,2,0,0,0,0.913,168.14,8.4,11.2,0,0.0,0.0,0.0,0.0
草莓,2,0,0,0,0.562,279.86,24.0,10.3,0,0.02,0.0,0.0,0.0
葡萄,2,0,0,0,0.651,248.71,26.0,11.6,0,0.0,0.0,0.0,0.0
西瓜,2,0,0,0,0.917,27.81,7.8,7.4,0,0.05,0.0,0.0,0.0
西红柿,2,0,0,0,0.836,109.33,10.35,9.4,0,0.0,0.0,0.03,0.0
香蕉,2,0,0,0,0.772,124.72,6.8,8.9,0,0.0,0.07,0.0,0.0
黄瓜,2,0,0,0,0.871,94.91,5.95,6.9,1,0.0,0.0,0.0,0.0
土豆,3,0,0,0,0.982,0.0,4.0,8.4,0,0.0,0.0,0.0,0.0
芒果,3,0,0,0,0.583,256.66,9.0,7.5,0,0.13,0.0,0.0,0.0
苹果,3,0,0,0,0.911,168.14,8.4,9.9,0,0.0,0.0,0.06,0.0
草莓,3,0,0,0,0.556,279.86,24.0,7.8,0,0.0,0.0,0.0,0.0
葡萄,3,0,0,0,0.647,248.71,20.0,8.2,0,0.0,0.0,0.0,0.0
西瓜,3,0,0,0,0.916,27.81,6.0,9.7,1,0.0,0.0,0.0,0.0
西红柿,3,0,0,0,0.833,109.33,9.0,10.9,1,0.0,0.0,0.0,0.0
香蕉,3,0,0,0,0.769,124.72,5.6,9.5,0,0.01,0.0,0.14,0.0
黄瓜,3,0,0,0,0.87,94.91,8.05,7.5,0,0.0,0.0,0.0,0.0
土豆,4,0,0,0,0.981,0.0,4.0,12.9,1,0.0,0.0,0.0,0.0
芒果,4,0,0,0,0.578,256.66,9.0,9.5,0,0.0,0.0,0.0,0.0
苹果,4,0,0,0,0.909,168.14,8.4,9.9,0,0.0,0.0,0.0,0.0
草莓,4,0,0,0,0.55,279.86,24.0,9.9,0,0.0,0.0,0.0,0.0
葡萄,4,0,0,0,0.643,248.71,23.0,11.7,0,0.0,0.0,0.0,0.0
西瓜,4,0,0,0,0.914,27.81,6.0,8.9,0,0.0,0.0,0.16,0.0
西红柿,4,0,0,0,0.831,109.33,9.0,7.0,0,0.0,0.0,0.16,0.13
香蕉,4,0,0,0,0.766,124.72,8.0,11.5,0,0.0,0.0,0.0,0.0
黄瓜,4,0,0,0,0.867,94.91,4.9,9.6,0,0.0,0.0,0.0,0.0
土豆,5,0,0,0,0.98,0.0,3.4,9.3,0,0.0,0.0,0.0,3.43
芒果,5,0,0,0,0.573,256.66,9.0,8.5,0,0.0,0.0,0.0,0.53
苹果,5,0,0,0,0.906,168.14,15.6,12.7,0,0.0,0.0,0.0,2.64
草莓,5,0,0,0,0.544,279.86,24.0,14.4,0,0.0,0.0,0.0,1.04
葡萄,5,0,0,0,0.639,248.71,20.0,10.6,0,0.0,0.0,0.0,0.98
西瓜,5,0,0,0,0.913,27.81,6.0,10.6,0,0.0,0.0,0.0,1.8
西红柿,5,0,0,0,0.826,109.2,10.35,13.1,0,0.0,0.0,0.11,4.62
香蕉,5,0,0,0,0.763,124.72,9.2,11.0,0,0.0,0.0,0.0,3.37
黄瓜,5,0,0,0,0.864,94.91,8.05,10.8,1,0.0,0.0,0.0,5.29
土豆,6,0,0,0,1.0,296.57,5.2,14.5,1,0.0,7.16,11.78,14.26
芒果,6,0,0,0,1.0,299.47,17.25,15.1,1,0.0,1.4,1.99,3.71
苹果,6,0,0,0,1.0,297.36,12.0,10.3,0,0.0,5.96,1.81,7.24
草莓,6,0,0,0,1.0,298.96,34.0,14.7,0,0.0,1.56,0.39,1.49
葡萄,6,0,0,0,1.0,299.02,23.0,13.0,0,0.0,1.45,1.45,2.29
西瓜,6,0,0,0,1.0,298.2,6.9,12.0,1,0.0,2.05,1.8,2.82
西红柿,6,0,0,0,1.0,295.38,9.0,14.8,0,0.13,1.16,6.17,12.2
香蕉,6,0,0,0,1.0,296.63,9.2,16.2,0,0.0,1.84,1.0,8.39
黄瓜,6,0,0,0,1.0,294.71,5.95,13.2,0,0.0,5.65,3.88,10.48
土豆,7,0,0,0,0.999,282.31,4.6,13.0,0,3.43,28.76,39.18,16.1
芒果,7,0,0,0,0.995,295.76,17.25,14.4,0,0.53,0.74,2.06,2.51
苹果,7,0,0,0,0.997,290.12,12.0,13.5,0,2.64,9.37,2.32,6.03
草莓,7,0,0,0,0.994,297.47,40.0,12.3,0,1.04,2.23,1.54,1.78
葡萄,7,0,0,0,0.992,296.73,23.0,15.3,0,0.98,1.41,1.74,1.61
西瓜,7,0,0,0,0.997,295.38,6.9,15.3,0,1.8,3.87,2.84,1.8
西红柿,7,0,0,0,0.997,283.18,9.0,10.3,0,4.62,24.9,11.63,6.94
香蕉,7,0,0,0,0.989,288.24,8.0,17.9,0,3.37,28.52,10.83,9.14
黄瓜,7,0,0,0,0.996,284.23,7.0,12.8,0,5.29,19.08,8.22,11.4
土豆,8,0,0,0,0.998,266.21,4.0,18.2,0,14.26,31.72,38.79,10.09
芒果,8,0,0,0,0.974,293.25,19.5,18.9,0,3.71,5.9,5.91,6.97
苹果,8,0,0,0,0.995,284.09,8.4,11.4,1,7.24,18.76,12.19,4.59
草莓,8,0,0,0,0.981,295.69,40.0,17.2,0,1.49,2.93,1.21,1.51
葡萄,8,0,0,0,0.974,295.12,20.0,19.0,1,2.29,4.21,3.82,1.49
西瓜,8,0,0,0,0.994,293.58,6.0,13.0,1,2.82,7.57,6.17,8.98
西红柿,8,0,0,0,0.99,276.24,9.0,15.9,1,12.2,9.26,10.09,7.65
香蕉,8,0,0,0,0.986,279.1,8.0,12.6,0,8.39,12.51,7.58,4.28
